,comments
0,"This kind of shit happens everywhere, it&#39;s not only blizzard or gaming. It&#39;s businessman mentality where making money is the only thing that they care, and the rest is none of their concern. Most people can&#39;t leave the job because they are held hostage due to the financial commitment they need to meet."
1,"These companies cannot possibly drop lower or can they, it is just JOKE..."
2,"Fun fact for us Americans: the state of Georgia only has a Department of Labor in spirit. They have ZERO employment laws/protections/procedures in place. Everything defaults to the FLSA as far as any &quot;protections&quot; go.<br>If your billion dollar employer just stops paying you for some shifts, your SOL on the state level and have to toss your hat into federal level procedure."
3,"A lot of good advice here, not just in terms of Blizzard and the greater gaming industry, but corporate work culture in general. HR is not your friend, but if you&#39;re at a company that actually gives a shit, they might be helpful. America is so far behind in labor rights and work culture health. We could be the greatest country in the world but we give so many freedoms to the worst kinds of corporate overlords. It&#39;s so backwards and I hate it."
4,"Every piece of new information comes out about blizzard is just so painful to watch, the empire is actually built with human ashes, for years and years."
5,bifrost op af
6,I think I did that 30 steps list thing in school once.
7,"Nerdds are the most selfish hateful deranged people on the planet. That is why they are nnerds, forget that cliche that they are misunderstood sweet people with a kind and sweet soul."
8,"Played Blizzard games for decades. It&#39;s not the same anymore. Nowadays I just spent more of my free time on my work and industry related hobbies, Kuberenetes, DevOps etc."
9,“They fired all those people. That’s talent you are never going to get back” correction thats talent they don’t want back. Welcome to the new world of AI going to take 90 percent of your jobs and do it fast 24 hours a day and more efficiently. And one less ideologically driven rainbow flag virtue signaling person there to ruin the gaming industry. People with rainbow flags are the same type of people that hang up blue thin line flags. You might think you are different but believe me you are equal zealots.
10,Why are jobs getting so effing bad
11,"Hearing this really felt like the Gambit-Guy from Destiny 2 drawing your Job as a Dev: Uuuh, Blizzard! Really sad what this Company has become"
12,Politics are always part of big corporates.
13,Gobling king and Hdhd programmer man a colab I never see coming
14,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=799"">13:19</a> Regarding firing people who been at a company 13-15 years - if I&#39;m brutally honest: I wonder if useful company knowledge doesn&#39;t start to plateau after like ~ 7 years, in some cases.  And if there&#39;s an annual % raise - salaries can get very high after +10 years.<br><br>I&#39;m starting to feel it myself: after many years at the same company. I have learned a lot but since teams and systems have changed it&#39;s not necessarily even applicable anymore and me saying &quot;we tried this 6 years ago and it didn&#39;t work&quot; would harm more than it helps."
15,"To be honest, I&#39;m on the fence regarding if &quot;Devs are rockstars, QA isn&#39;t&quot; is horrible or not.<br>I&#39;ve worked as a dev for media companies where we were basically told &quot;content is the rockstar, tech isn&#39;t&quot;, and we accepted it as perfectly reasonable.<br>BUT this was said by another developer. It would&#39;ve felt less OK if was said by a content creator who wasn&#39;t part of the tech organization. <br>Secondly - this was said in a meeting with the entire tech organization, and we were kind of a separate entity to the content organization. It would&#39;ve felt weird if someone name one of our many tech teams as &quot;rockstars&quot; .<br><br>Allthough ... if we&#39;re crass, I&#39;ve heard it said once - when our Platform/devOps team were considering making a change that would break a profitable application because the app devs were slow. And some boss basically told em &quot;The application is the rockstar, the end users are what matters, not your platform&quot;"
16,&quot;I named it bifrost because it was a bridge&quot; bro is prophecizing his own shit
17,I pressed the like button just because I heard about your drug addiction on the other video and now I am afraid you might go back to that if I don’t press the like button and your channel doesn’t become a successful one.
18,"The way you fix the middle management and festering pockets, is you implement some principles already discovered by others out there in business.  The CEO going down in the trenches was part of the problem, he&#39;s trying to fix everything himself when he needed systems in place to keep things fixed internally.  The outside firm wont work as well as having the internal systems in place to fix things.  Basically it&#39;s a problem the CEO is likely causing, but he&#39;s causing it from honest mistakes in his management style.  A few honest mistakes up top, trickle down a few levels and create festering pockets.  Also, it had the problem of being &quot;Blizzard&quot;, any rockstar place to work can have these issues because people are willing to tolerate more to work there... which further causes the problems you&#39;re trying to avoid.  In normal companies, they&#39;ll just leave, and toxicity is lessened because the pocket implodes easier after skilled people leave."
19,"Good managers are rarer than platinum and diamonds. <br>My best managers insulated us from the bullshit raining down from corporate, got us the resources to get our jobs done, and trusted us to get the job done."
20,this made me delete battle net
21,"I still get Indeed emails for jobs. Every three months I would get Activision Q&amp;A job testing postings. This is for CoD as it was Eden Prairie. In 2015, this was $15.96 with the most ridiculous qualifications. I later talked to the people that quit and I understand why a Camera ended up in a restroom."
22,"As a person who works in QA (worked on Torchlight 3, Nioh 2, New World, Weird West, Song of Nunu among others), all this resonates deeply with me. QA is treated like trash both by management and gamers. I&#39;m so glad I test software instead of games now."
23,"perfect example of a dev from a legacy studio that left while it was on the heels of a sour release, and made a masterpiece: Nate Purkeypile after Fallout 76. His game just came out, its on steam and its called The Axis Unseen."
24,"Something about the guy complaining how HR block him from working for 3 months sounds dodgy. The non-compete clause doesn&#39;t activate suddenly its active at all times for all jobs that have noncompete clause. However, a company can&#39;t stop you from working for a competitor unless you are carrying extremely top secret company information. That tweet conversation is leaving out stuff."
25,"I mean, they did this to us in home and careers in 6th grade.  I’m 40 now:"
26,"Uhhh in our studies (at Uni) we all learn that (from Management to IT, especially in IT Management) that QA is at the same level like Software Engineering, means they&#39;re QA Engineers. Yes it&#39;s engineering!! The same we have Software Engineering. And hell yeah! Once in Social Engineering you kinda SMELL THAT DIRTY SH1T! 😆 Oh the language told me immediately he&#39;s govieee 😆 No this is illegal in European Law, as well as EU law, but keep in mind UK is not EU, UK is now America. YES! Knowing the diff between work and job is so incredible!"
27,Another thing is I can’t take a easier job that would be nicer because the judge isn’t gonna change my child support payment if I take a lower paying job so watch out for that shit
28,"You&#39;re a tester bro. I replace you with a 12 year old, My friends at EA games made 10 a hour too for testing. welcome to the world of testing."
29,"i love listening to thor just talk to someone one to one, and not chat. I love his shorts, but this long talk is super convenient to listen to when im doing other things and listening along"
30,Wish Prime didn&#39;t derail the conversation every 10 seconds. So annoying.
31,In a lot of countries here we have unions that will help negotiate for you against a troublesome employer. They have lawyers aswell. Have had friends who have gotten help against both state run employers and private. No system is perfect but your system seems f***ked up. Esp with healthcare insurance often tied into your employment. We need good regulation esp for large companies to protect employees.
32,This is ao sad. I spent so many happy hours in Azeroth. I&#39;m saddened to know its creators had such a miserable working situation.
33,"I hear all this... and I came out of it rather liking Mike. But I neither forgive nor absolve him. It was his job to know what was going on in a company that was, and I mean this without hyperbole, working people to death. The EA merger didnt save them, the Microsoft merger wont save them. Quitting or unionization are the only plausible options I can think of - but hey, i never worked there"
34,"UK law means that if you are not employed by a company and they are not paying you, a non-compete clause is very very difficult to enforce ... as in you can go an work for a direct competitor and there will be no consequences at all .."
35,"&quot;Get everything in writing&quot; best piece of advice ever. However, i worked for a company where HR NEVER put anything in writing, even in follow up emails where i would say &quot;hey to go off our meeting earlier, i just wanted to confirm that you requested me to do X, please confirm&quot;. My hr manager never responded, when it is near impossible to get anything in writing its time to leave, they are setting you up to be fired with cause. Dont let them."
